,,,,STAT OVERVIEW,,,,,,,,,,,,,,,,,,SHOOTING,,,,,,,,,PASSING,,,,,PUCK CONTROL,,,,,DEFENSE,,,FACEOFFS,,,,,,,,,,,
Gamertag,Platform,Primary position,Record,Wins,Losses,Overtime losses,Games played,Goals,Assists,Points,Points per game,Shots,Passes,Hits,Giveaways,Takeaways,Interceptions,Blocks,Penalty minutes,plus minus,Goals per game,Scoring percentage,Shot Attempts,Missed Shots,Shots on net percentage,Powerplay goals,Shorthanded goals,Deflections,Assists per game,Pass attempts,Pass attempts per game,Passes per game,Passing percentage,Saucer passes,Saucer passes per game,Giveaways per game,Puck Possession per game,Penalties drawn,Hits per game,Interceptions per game,Takeaways per game,Blocks per game,Penalty Clears,Faceoffs won,Faceoffs lost,Faceoff percentage,Time on ice,Powerplay time on ice,Shorthanded time on ice,,,,,,
Username,Plat,Pos,Rec,WIN,LOSS,OTL,GP,G,A,PTS,PTS/GP,S,P,Hit,GA,TA,Int,Blk,PIM,+/-,G/GP,S%,SA,MS,SoN%,PPG,SHG,Defl,A/GP,PA,PA/GP,P/GP,P%,SP,SP/GP,GA/GP,PossMPG,PenDr,Hit/GP,Int/GP,TA/GP,Blk/GP,PKClr,FOW,FOL,FO%,TOI,PP TOI,SH TOI,EV TOI,SkEV TOI,EV S%,EVO,GAR,WAR
oi Caustic,xbsx,LW,24-6-1,24,6,1,32,149,82,231,7.2,292,333,110,453,132,203,16,36,102,4.7,42.50%,351,59,83.13,0,0,1,2.6,502,15.69,10.41,66.53%,1,0.03,14.16,7.88,20,3.44,6.34,4.13,0.5,0,102,103,49.76%,1798,40,20,1860,58.125,41.12%,4.51,2.6,75.58%
mxwto,xbsx,C,26-4-2,26,4,2,32,104,104,208,6.5,320,378,172,379,133,214,16,2,120,3.3,27.70%,375,55,86.15,0,0,4,3.3,517,16.16,11.81,73.31%,1,0.03,11.84,7.64,11,5.38,6.69,4.16,0.5,0,287,273,51.25%,1836,22,11,1887,58.96875,27.26%,3.19,1.33,88.23%
x3XHoagieX0x,xbsx,LW,20-9-3,20,9,3,32,114,92,206,6.4,314,510,40,368,141,209,14,22,59,3.6,31.00%,368,54,82.87,0,0,12,2.9,679,21.22,15.94,75.11%,0,0,11.5,8.09,10,1.25,6.53,4.41,0.44,0,0,0,0,1788,20,10,1890,59.0625,30.49%,3.51,1.59,69.86%
Carney l94l,xbsx,LW,24-7-1,24,7,1,32,124,79,203,6.3,334,333,121,342,97,155,12,8,83,3.9,31.70%,391,57,82.79,0,0,2,2.5,446,13.94,10.41,74.66%,0,0,10.69,6.58,20,3.78,4.84,3.03,0.38,0,0,0,0,1740,40,20,1860,58.125,30.72%,3.75,1.92,88.68%
Xephyreous,xbsx,C,16-14-0,16,14,0,30,92,98,190,6.3,215,489,127,437,120,197,12,14,31,3.1,36.10%,255,40,80.35,0,0,0,3.3,669,22.3,16.3,73.09%,0,0,14.57,8.93,21,4.23,6.57,4,0.4,0,456,354,56.30%,1737,42,21,1737,57.9,34.82%,2.96,1.23,92.71%
CraveDogg,xbsx,C,22-6-1,22,6,1,29,123,66,189,6.5,259,354,69,405,133,253,11,12,36,4.2,40.90%,301,42,83.71,0,0,1,2.3,474,16.34,12.21,76.37%,8,0.28,13.97,9.65,15,2.38,8.72,4.59,0.38,0,445,376,54.20%,1754,30,15,1695,58.44827586,39.81%,4.13,2.25,84.31%
MikeyPT4899,xbsx,C,23-6-1,23,6,1,30,84,93,177,5.9,240,513,50,307,99,148,20,18,68,2.8,29.40%,286,46,83.56,0,0,3,3.1,681,22.7,17.1,75.48%,1,0.03,10.23,6.93,11,1.67,4.93,3.3,0.67,0,420,356,54.12%,1742,22,11,1767,58.9,28.83%,2.75,0.74,79.72%
BosGamesTV,xbsx,C,14-9-3,14,9,3,26,92,67,159,6.1,288,309,141,324,98,139,14,18,35,3.5,26.10%,353,65,81.76,0,0,1,2.6,416,16,11.88,74.28%,0,0,12.46,6.77,12,5.42,5.35,3.77,0.54,0,245,176,58.19%,1550,24,12,1524,58.61538462,25.46%,3.46,1.55,78.78%
Swollymammoth84,xbsx,LW,16-8-0,16,8,0,24,85,59,144,6,228,315,47,136,82,112,12,10,21,3.5,32.90%,258,30,88.29,0,0,14,2.5,399,16.63,13.13,78.95%,0,0,5.67,4.77,18,1.96,4.67,3.42,0.5,0,193,293,39.71%,1363,36,18,1386,57.75,31.71%,3.41,1.46,85.12%
Krehzii,xbsx,C,15-13-2,15,13,2,30,97,47,144,4.8,240,414,96,265,104,158,11,4,1,3.2,34.50%,281,41,85.41,0,0,2,1.6,514,17.13,13.8,80.54%,0,0,8.83,5.92,6,3.2,5.27,3.47,0.37,0,247,221,52.78%,1774,12,6,1782,59.4,34.17%,3.2,1.23,78.90%
IBiggy OtisI,xbsx,LW,18-6-0,18,6,0,24,79,64,143,6,230,361,44,317,98,122,12,16,45,3.3,31.30%,252,22,91.65,0,0,2,2.7,489,20.38,15.04,74.85%,5,0.21,13.21,7.41,7,1.83,5.08,4.08,0.5,0,22,9,70.97%,1345,14,7,1419,59.125,30.89%,3.24,1.24,72.42%
